"NAME of Museum/Art Organization/Institution. Or REGION, MUSEUM TYPE, or # OF EMPLOYEES AT ORG (all museum types, profit/non-profit galleries, sizes, countries, warmly welcomed)",Role ,Department,City,Country,Starting salary ,Year of starting salary ,Current (2019) or Ending Salary,Hourly (H) /  Permanent (P) / Contingent/Finite Term Employment (C) ,"If part-time / Hourly (H) / Contingent/Finite Term Employment (C), how many hours/week",Benefits?,"Year this salary was current (if a current salary, put 2019)",Years of experience in field at time of current salary listed,Parental leave policy at organization (+ who is eligible),"Optional: Identify your gender or preferred pronouns--ND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Optional: Identify your race with your preferred designation AND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Degrees required for position when hired/If applicable, if institution helped pay for furthering your education",Visa sponsorship paid/facilitated by organization,Notes
The Trustees of Reservations,Curator,,"Boston, Massachusetts",USA,"15,000","1,996.00","35,000",Permanent part-time,24 hours,"Some (paid vacations, retirement contribution; not healthcare)",2018,23,,Female,White,"B.A., M.A. preferred",,
[Northern Indiana],Curator,collections,Elkhart,United States,"$27,500.00 ","$2,010.00 ","$31,200.00 ",35 hours per week,,None,2019,24,No paid parental leave,female,Caucasian ,Bachelors ,n/a,
[Government Arts Funder in NE],Grants Manager ,,,United States ,65000,2015,72000,P,,"Yes, good ones",2019,25,3 mos maternity unpaid,Female,,Masters Degree- which I am still paying for 10 years later,,
[intentionally left blank],Associate Conservator ,Conservation ,Boston ,USA ,"$42,000 ","$2,008.00 ","$64,000 ",(C) contract renewed annually for 13 years,35 per week,Yes,2019,25,Mother,Female,Caucasian,Graduate degree; institution didn’t help ,No,
"[Nonprofit House Museum, 2 PT employees, NYC Metro area]",Assistant Director,"N/A (but I handle development, among other things)",,USA,$10/hour,2015,$10/hour,"Hourly, permanent",12-Oct,hahahaha!,2019,25,no formal policy,female,white,BA; they pay for an occassional one-day continuing-ed wokshop,N/A,"I realize that small house museums are in some ways a unique group.  Traditionally, they have relied on volunteers - but resulting the lack of professionalism shows, and (I would argue) is a big part of the problems facing the sector.  I have the relevant experience but they can barely afford the $10/hour part-time (and I can only do it because I have another job and my spouse's health insurance).  It's a vicious circle - no professional staff mean poor management means you can't afford professional staff."
"[Small Historic Artist Home/Studio in TX (2 ft, 4 pt staff)]",Curator/Collection Manager,Curatorial,,US,$19/hr,,$19/hr,H,,,2016,25,,Female,w,MA,,"they really needed an experience person like me in the museum, but funding was limited and my position was cut after 6 months; museum is city-owned and operated"
[small historic site (deep south)],Director,,Thomson,USA,"42,000",2004,"72,000",P,,"health insurance, IRA contribution match",2019,25,none,Female,White,Masters,,
[Southern Art Museum],Curator,Curatorial,,USA,"49,900",2011,"57,772",P,,Yes,2019,25,,Female,White,PhD,,
Getty Museum,Collection Manager,,Los Angeles,US,"$50,000 ",2011,"$61,500 ",P,,yes,2019,25,,female,white,,,
Newberry Library,Director,Research Center,Chicago,USA,"$55,000 ","$2,019.00 ",,P,,"Health, vision, long-term care insurance; 10 days vacation first year, 20 days after that; 2 personal days a year; paid holidays; pension plan with employer match after one year",2019,25,12 weeks unpaid (legal minimum under FMLA). Everyone eligible.,Female,White,PhD. No education assistance.,n/a,
"[Southeastern US, Children's Museum]",Executive Director,Administration,,US,"70,000","$2,016.00 ","70,000",P,,None,2019,26,No,Female,Caucasian,Master's,NA,
Rhode Island Historical Society,Director of Collections and Museum Curator,Colletions (Museum & Library combined),,US,"$46,000.00 ",,"$53,678.00 ",P,,,2017,26,"Accrued sick and vacation time could be used for leave; any vacation OVER 3 weeks was lost at the endo every fiscal year. After 4 years, staff received 4 weeks vacation and 10 sick days. ",Female,white,,,Starting salary = 2006 after negotiating position and increase. R
Drug Enforcement Administration Museum,Curator of Education,Congressional and Public Affairs,"Arlington, VA",USA,"$96,970 ",2018,"$102,477 ",P,,"Health, pension, vacation/sick, TSP",2019,27,Accrued time off,Female,White,MA in Museum Education,N/A,
Art Institute of Chicago,Library Assistant,Technical Services,Chicago,US,$9 per hour,1990,$20 per hour,H P,,yes,2019,29,?,female,white,none,,thanks for doing this
"[Art Center at University w/o collection, 3 employees]","Director, Chief Curator",,New York,US,"85,000",2004,"105,000",,,Yes,2019,30,generous,female,caucasian,MA,n/a,
[art museum / 800 staff],librarian ,library,new york,new york,"40,000",1998,"80,000",p,,yes,2019,30,yes,female,white,mls. tuition benefits. ,n/a,
Arizona State Museum/University of Arizona,Associate curator of education/Department head,Community Engagement (exhibits & education),Tucson,United States,"40,000","$2,001.00 ","65,500",P,,yes,2019,34,"yes, mothers, caretakers",female,white,MA (but PhD preferred),no,Academic museum
[Art Museum],Executive Director,n/a,Southern California,United States,"$110,000 ","$2,014.00 ","$120,000 ",Permanent,,"Health, 3% retirement",2019,35,all - unpaid,female,white,n/a,n/a,
Los Angeles County Museum of Art,Curator,,Los Angeles,USA,,,"$105,033 ",,,"Yes (medical, dental, matched defined benefits and defined contribution retirement plans)",2019,35,,female,white non-Hispanic,M.A.,,
[Indiana],"Senior Director, Conservation",,Indianapolis,United States,"$12,000 ",1979,"$68,000 ",Permanent,,Yes,2009,40,Indiana Historical Society,female,white,BFA and Certificate in Textile Conservation,Fulbright Scholarship to England,"I pursued a certificate for conservation graduate study abroad because in 1980 I was told by head of one east coast program that at age 24 I was too old to apply to any of the U.S. Graduate schools.  In addition to my Fulbright I obtained a Samuel H Kress Foundation Fellowship to assist local travel to and within the UK, so it worked out well."
[Museum in the Southeastern USA],Associate,Visitor Services,,USA,$13/hour,"$2,019.00 ",,H,"Part Time, Hourly, 24 hours","Discounts at museum, guest passes, free parking during work",2019,2-Jan,,Female,White,"a High School Diploma required, most people hired have a B.A. equivalent including me",,
National Building Museum,Museum Teacher - Teen Programs,Education,"Washington, DC",USA,$13.00 ,2008,$13.00 (2011),H,15-Oct,,2010,3-Jan,,female,white,HS diploma,,"As of July 1, 2018 NBM increased rate to $13.60 for all part time staff across the Museum regardless of role, in keeping with DC's minimum wage of $15/hr by 2020. As of July 1, 2019 the rate will be $14.60/hr.

Also, the National Building Museum is a private non-profit 501(c)(3) org - it is NOT part of the Smithsonian (common misconception)."
[Public University Art Gallery],Gallery Manager and Curator,N/A,Milwaukee,USA,$12 per hour,,$12.75 ,"Hourly, Limited term ",25,None,2019,4-Mar,None,Female,White,"Bachelor, must be current grad student. They did not help pay for furthering education",None,
"[UK, charitable religion-related museum, 30-40 employees]",Assistant Exhibitions Curator,Curatorial,London,UK,"£24,000","$2,016.00 ",same,P,,2% pension contribution,2019,5-Mar,UK standard,Female,,,no,
Whitaker Center for Science and the Arts/Central PA,STEM Education Programming Manager,Education,Harrisburg,United States,$15 dollars an hour,$2.00 ,"36,133.50",P,37.5,Yes,2019,5-Mar,"yes, unpaid",Female,White,BA,n,
Harvard Art Museums,Gallery Teacher,Education,"Cambridge, MA",USA,$17/hr,2013,,H,8 hr / week,none,2014, 2 years prior experience,,Female,White,was in grad school,,
[Gallery],Archivist,,Los Angeles,US,"65,000",2018,"65,000",P,,"Health, vision, dental, 401k",2019,~5 ,,Female,white,MLIS preferred,,
The Huntington,Visitors and Volunteer-related,,San Marino,United States,37000,2014,46000,Permanent/Hourly,,Yes; excellent,2019,>10,,Female,White,,,
"Museum of Fine Arts, Houston",Conservation Fellow,Conservation,Houston,US,"$27,000.00 ",,"$27,000.00 ",C,"35 hr/week (1 year, renewable)",Yes,2017,0 (post-grad),,Female,White,Masters,,
Children's Museum,Program Coordinator,Education,,USA,"$39,000 ",2019,"$39,000 ",P,,Yes,2019,0-3,,Female,White,"Bachelor's, no aid for further education",,
[University Collection in Philadelphia],Curatorial Assistant,,Philadelphia,United States,$8.50 / hr Federal Work Study,2012,$8.50 / hr Federal Work Study,H,20-Oct,None,2016,0-4 as I went through college working for the same collection,,Female,White,Current Undergraduate Student,,"This collection has a staff of three, one paid a salary by the university, the other two paid out of a large donation earmarked for staff support. The rest of the duties are parceled out to work study students and unpaid summer interns, which is an excellent learning opportunity in a university that values student work experience. However, if the collection was fully funded for the work expected of it, it likely could use 2-3 more full time permanent staff members."
"MUNTREF - Museum of the National University of Tres de Febrero- Buenos Aires- Argentina- Has 4 venues ( Contemporary Art, Visual Arts, Art and Nature,  Art and Science)/ non profit museum.   ",Technical Intern  ,Exhibitions,Buenos Aires,Argentina,494,2018,494,C,20,none,494,1 year,,female,latin,Need bachelor degree in visual or electronic arts. Also the museum gives me a 50% scholarship for my master degree in electronic arts. ,,
[Palace in France],Head of the department,Cultural Department,,France,"1,550€",2018,"1,700€",P,,Yes,2019,"1,5",16 weeks for maternity leave ; 11 days for paternity leave,Female,Caucasian,5 years college or higher,,I got this position by passing 
[Artist Studio],Freelance Studio Assistant,,,USA,,,,(H) $20/h,10-20 hr/week depending on need,No.,,10 +,,Female,Caucasian,,,
[History Museum],Exhibition Graphic Designer,Exhibition,"Washington, DC",USA,"50,000","$2,016.00 ","53,000",P,,"Health (incl dental & vision), 401k match, Life Insurance",2018,"10 in design, 0 in museum",6 months paid,female,Asian,,,
[intentionally left blank],Paper conservator,Iconography,Rio de Janeiro,Brazil,"R$ 3000,00",2015,"R$ 3500,00",P,,"Health, dental, meal ticket",2019,10 years,16 weeks for the mother,female,,BA,,
[intentionally left blank],Gallery Director,,London,UK,"£24,000","$2,013.00 ","£35,000",Permanent,,N/A,2019,10 Years,,Female,White,BA Hons,No,
[Large Art Museum on West Coast],Associate Curator,Curatorial ,,United States,"$65,000 ",2017,"$68,000 ",Permanent ,,"full benefits (healthcare, dental, paid vacation/sick time, etc.)  ",2019,10 years,,female,white,MA or PhD,not required ,
[Los Angeles area science museum],School and Teacher Programs Coordinator,Education,Los Angeles,USA,$20/hour,"$2,018.00 ",$20/hour,Hourly,,"Health, Vision, Dental (Dental premiums fully paid; health and vision continue to rise premiums every year without corresponding annual salary increase to cover these additional costs...). 2% salary raise as a Cost of Living Adjustment every year instead of performance adjustments.",2019,10 years,,Female,White,Bachelor required,,
[Academic Art Gallery],Gallery Director,Visual Arts,Dallas,United States,"32,000","$2,011.00 ","56,000",Permanent,,"Medical, Dental, Vision, Life, Retirement, Disability",2019,10+,"4 weeks, both parents",Female,,Masters,,
Getty Research Institute,Research Assistant,,Los Angeles,USA,$20.49/hr,"$2,017.00 ",$20.90/hr,Hourly/Limited Term,40,"yes: healthcare (inc. dental/vision), 403(b) (vesting after 3 years), transportation, vacation/sick/personal, gym on-site",2018,10+,unpaid beyond CA requirements,female,white,BA; no professional development opportunities on contracts under 18 months,N/A,non-exempt employees accrue vacation time at half the rate of exempt employees
Metropolitan Museum of Art,Manager,Digital,New York,United States,"75,000","$2,015.00 ","82,000",P,,"Health, dental, vision, retirement",2019,10+,,Female,White,"BA required, MA preferred",,
MoMA,Curatorial Assistant,Curatorial,NYC,US,,,"$64,916.00 ",,,,2019,10+,,Female,,,,
[Art Museum - Tennessee],Education - Assistant Director,Education ,,USA,"$35,000 ",2018,"$35,000 ",(P),,Health insurance but too expensive to sign up for. CRA Creft available with some matching recently available.,2019,12 years,12 weeks unpaid leave for male or female ,Female,Hispanic ,"I have a BFA, they wanted someone with a masters and talked about offering extended education but a full degree was not an option ",N/A ,"I worked my way up in a small organization, but if I want to go any further I'll have to go back to school for a masters degree. "
The Jewish Museum,Associate Curator,Curatorial Affairs,New York City,United States,"75,000",2018,"75,000",P,,"Health, Dental, Vision. Generous PTO policy for Federal and Jewish Holidays, Vacation, Sick, and Personal Days. Life Insurance and LTD. FSA and Commuter Benefit Plans. 403(b) Retirement Plan with generous matching.",2019,12 years,"FMLA and NYPFL. Additionally, employees of 1-3 yrs receive 3 wks of paid FMLA leave; 4 wks for employees of 3+ yrs. Otherwise, accrued sick time must be used to cover unpaid leave, with the option of using vacation/personal days to cover the remaining TO.",Female,"White, Jewish",MA in Art History or related field,,
ATLAS Arts,Producer,N/A,Portree,Scotland,"£25,000",2014,"26,000",Permanent (funding dependent),Full time,Pension 3%,2019,13 years,"Up to a year (1 month full pay, rest statutory)",Female,,Undergraduate and postgraduate,,
[Historic Museum in Los Angeles],associate conservator,collections and conservation,los angeles,United States,$9/hr,2007,$25/hr (promoted),"H, P",32/hr,Yes,2019,"14 years after grad school, 4 years prior experience",12 weeks of parental leave,female,,Masters Degree,Facilitated but not paid,
[Contemporary art museum],Curator,,Paris,France,20 000 euros,2002,35 000 euros,P,35h/week,,,15 years,,Female,Wight,,,
Artist--Aimee Gilmore,artist,,,,,,0,P,,NO,,15+,,Female,White,,,"As an emerging artist still very much in the early stage of my career I am making $0 on my artwork and paying for everything. I pay to apply to shows just to have my work seen by curators, I pay to apply to try and get money to fund projects (grants/fellowships) , I pay to go to residencies to have the time and space to focus on my artwork. Not to mention the unpaid hours I spend working in my studio. I am fortunate to have a life partner who can support our family for now but with two small children I don't know how much more money I can invest into my work without getting any sort of return soon."
"[Mid-sized Museum, NYC (appx. 250 employees)]","Dadabase management, research, librarian, and  manager",Library,,US,"$50,000.00 ",,"$55,000.00 ",F,,,2019,15-20,FMLA,Female,white,"MLIS, or MA in Art HIstory",,"Moratorium on salary increases after 2008 economic downturn, 2% raises began 2 years ago"
University of Michigan Museum of Art,Academic Teaching Fellow,Education/Curatorial,"Ann Arbor, MI",US,"$38,000 ",2018,"$38,000 ",C,24 month appointment,Full Benefits through University,2019,2 years,,Female,Option 1,"Bachelor of Arts (Required), MA/MS (Desired)",,
[Mid-size arts center in Florida],Curatorial Support,Exhibitions Department,Florida,USA,$10/hr (Part time Hourly),2009,"21,800","H, P, C",24,Yes,2011,2 years ,Limited,Female,,"BA, no help",,
[Art Gallery in Chelsea],Gallery Assistant,,"New York, New York",USA,,,,$17/hr,,Yes,2019,2 yrs,Yes,Female,,,,
Denver Botanic Gardens,Volunteer Coordinator,"Membership, Visitor, and Volunteer Services",Denver,USA,$14.77/hr,"$30,721.00 ","$16.50/hr or $34,320/year",Hourly,,"Yes, really good health insurance/vision/dental; an ecopass for public transit; concert passes; free classes at the Gardens; and probably more I'm forgetting",2019,"2.5 years in volunteer management, plus and additional 8 years in Education in general (where I also worked with volunteers)",unsure,Female,White,High school diploma required; I have a masters in Museum Education,unsure,"Other coordinators in our same department make more than we do. A Visitor Services coordinator just moved to our part of the department and had to take a $1/hr paycut.  We are expected to work at three different sites and manage our own programs, but are given less compensation, respect, and recognition."
[Art Museum],Director of Engagement,Engagement,Santa Barbara,USA,"$46,000 ",2014,"$53,000 ",,32/week,"Health insurance, Simple IRA",2019,20+,?,Female,Caucasian,,,
"[Media Archive, charity]","Digital Asset Manager, Post-production ",Technical,,United Kingdom,Approx £22000 (pro-rata 0.5),2015,Approx £22500 (pro-rata 0.6),Part-time,22.5,"Pension, flexible work hours ",2019,20+,,Female,White,Degree,,
[Nonprofit Latino Arts Culture Center],Communications Director,,"San Antonio, TX ",US ,"50,000","$2,017.00 ","$50,000.00 ",salary,,"401K, paid sick leave, 3 weeks vacation, medial, vision, dental",2019,20+,none,Female,Latina,Bachelors,n/a,
